experiment,arm,policy,strategy,workers,prefix_cache,stale,seed,seconds,arrived,admitted,completed,completed_per_s,shed_pct,shed_by_router,ttft_p50_s,ttft_p99_s,routing_imbalance,kv_block_seconds,prefix_block_seconds,peak_blocks,preempts,wasted_decode_tokens,prefill_tokens,cached_prefill_tokens,in_flight_at_horizon
t1,fcfs/random/2w,fcfs,random,2,False,,7,90.0,1296,1093,989,10.988888888888889,15.66358024691358,203,0.21218899999996577,17.300018000001728,0.028362305580969808,917434.5193500128,0.0,16384,387,137,2128023,0,104
t1,fcfs/least_loaded/2w,fcfs,least_loaded,2,False,,7,90.0,1296,1296,1256,13.955555555555556,0.0,0,0.07894800000140378,1.017053000001198,0.004629629629629629,735144.7972500122,0.0,14940,0,0,1714667,0,40
t1,fcfs/p2c/2w,fcfs,p2c,2,False,,7,90.0,1296,1296,1256,13.955555555555556,0.0,0,0.07894800000140378,1.017053000001198,0.004629629629629629,735144.7972500122,0.0,14940,0,0,1714667,0,40
t1,fcfs/prefix_then_load/2w,fcfs,prefix_then_load,2,False,,7,90.0,1296,1296,1256,13.955555555555556,0.0,0,0.07894800000140378,1.017053000001198,0.004629629629629629,735144.7972500122,0.0,14940,0,0,1714667,0,40
t1,priority/random/2w,priority,random,2,False,,7,90.0,1296,1093,989,10.988888888888889,15.66358024691358,203,0.21218899999996577,17.300018000001728,0.028362305580969808,917434.5193500128,0.0,16384,387,137,2128023,0,104
t1,priority/least_loaded/2w,priority,least_loaded,2,False,,7,90.0,1296,1296,1256,13.955555555555556,0.0,0,0.07894800000140378,1.017053000001198,0.004629629629629629,735144.7972500122,0.0,14940,0,0,1714667,0,40
t1,priority/p2c/2w,priority,p2c,2,False,,7,90.0,1296,1296,1256,13.955555555555556,0.0,0,0.07894800000140378,1.017053000001198,0.004629629629629629,735144.7972500122,0.0,14940,0,0,1714667,0,40
t1,priority/prefix_then_load/2w,priority,prefix_then_load,2,False,,7,90.0,1296,1296,1256,13.955555555555556,0.0,0,0.07894800000140378,1.017053000001198,0.004629629629629629,735144.7972500122,0.0,14940,0,0,1714667,0,40
t1,drr/random/2w,drr,random,2,False,,7,90.0,1296,1224,1173,13.033333333333333,5.555555555555555,72,0.16614500000070365,9.864177000001206,0.03104575163398693,874666.9640000158,0.0,16384,358,204,1916259,0,51
t1,drr/least_loaded/2w,drr,least_loaded,2,False,,7,90.0,1296,1296,1258,13.977777777777778,0.0,0,0.07051300000000715,1.167826000001142,0.05092592592592592,738423.06570002,0.0,14399,0,0,1714667,0,38
t1,drr/p2c/2w,drr,p2c,2,False,,7,90.0,1296,1296,1258,13.977777777777778,0.0,0,0.07051300000000715,1.167826000001142,0.05092592592592592,738423.06570002,0.0,14399,0,0,1714667,0,38
t1,drr/prefix_then_load/2w,drr,prefix_then_load,2,False,,7,90.0,1296,1296,1258,13.977777777777778,0.0,0,0.07051300000000715,1.167826000001142,0.05092592592592592,738423.06570002,0.0,14399,0,0,1714667,0,38
t1_fleet_sweep,drr/random/4w,drr,random,4,False,,7,90.0,2594,2594,2381,26.455555555555556,0.0,0,0.11741300000014832,3.0342030000015114,0.03084040092521203,1418015.6226000234,0.0,32680,78,0,3435134,0,213
t1_fleet_sweep,drr/least_loaded/4w,drr,least_loaded,4,False,,7,90.0,2594,2593,2456,27.288888888888888,0.03855050115651504,1,0.06754100000094354,1.2424070000017053,0.01504049363671423,1391608.9455500122,0.0,32471,19,37,3389052,0,137
t1_fleet_sweep,drr/p2c/4w,drr,p2c,4,False,,7,90.0,2594,2587,2464,27.377777777777776,0.26985350809560527,7,0.07915499999999165,1.259898000001428,0.041747197526091996,1397738.1889500236,0.0,31798,4,9,3376594,0,123
t1_fleet_sweep,drr/prefix_then_load/4w,drr,prefix_then_load,4,False,,7,90.0,2594,2593,2456,27.288888888888888,0.03855050115651504,1,0.06754100000094354,1.2424070000017053,0.01504049363671423,1391608.9455500122,0.0,32471,19,37,3389052,0,137
t1_fleet_sweep,drr/random/8w,drr,random,8,False,,7,90.0,5080,5080,4967,55.18888888888889,0.0,0,0.1391200000002577,2.129157000000987,0.01909448818897638,3053561.4536000476,0.0,63573,62,0,6857162,0,113
t1_fleet_sweep,drr/least_loaded/8w,drr,least_loaded,8,False,,7,90.0,5080,5080,4974,55.266666666666666,0.0,0,0.05464100000104821,0.6567500000004038,0.021062992125984253,2899551.0624500564,0.0,55572,0,0,6730099,0,106
t1_fleet_sweep,drr/p2c/8w,drr,p2c,8,False,,7,90.0,5080,5080,4976,55.28888888888889,0.0,0,0.07056400000060847,0.863186000000745,0.01141732283464567,2880895.7964500776,0.0,54989,0,0,6730240,0,104
t1_fleet_sweep,drr/prefix_then_load/8w,drr,prefix_then_load,8,False,,7,90.0,5080,5080,4974,55.266666666666666,0.0,0,0.05464100000104821,0.6567500000004038,0.021062992125984253,2899551.0624500564,0.0,55572,0,0,6730099,0,106
