experiment,arm,policy,strategy,workers,prefix_cache,stale,seed,seconds,arrived,admitted,completed,completed_per_s,shed_pct,shed_by_router,ttft_p50_s,ttft_p99_s,routing_imbalance,kv_block_seconds,prefix_block_seconds,peak_blocks,preempts,wasted_decode_tokens,prefill_tokens,cached_prefill_tokens,in_flight_at_horizon
t2,fcfs/random/cache,fcfs,random,2,True,,7,100.0,959,959,951,9.51,0.0,0,0.0425900000027184,0.2502120000007082,0.005213764337851929,114027.80080000273,60089.410250002664,2574,0,0,604095,1225000,8
t2,fcfs/random/nocache,fcfs,random,2,False,,7,100.0,959,959,941,9.41,0.0,0,0.22192600000041196,0.7920020000006289,0.01564129301355579,277727.8162000049,0.0,9595,0,0,1825095,0,18
t2,fcfs/least_loaded/cache,fcfs,least_loaded,2,True,,7,100.0,959,958,952,9.52,0.10427528675703858,1,0.04235000000063849,0.2487260000004028,0.0,115931.31960000392,62002.517700001146,2515,0,0,607095,1218000,6
t2,fcfs/least_loaded/nocache,fcfs,least_loaded,2,False,,7,100.0,959,959,943,9.43,0.0,0,0.21673399999997311,0.6570650000016087,0.026068821689259645,265622.61855000415,0.0,9080,0,0,1825095,0,16
t2,fcfs/p2c/cache,fcfs,p2c,2,True,,7,100.0,959,958,951,9.51,0.10427528675703858,1,0.04259899999994943,0.2466910000015048,0.0020876826722338203,115714.41305000357,62223.826950001356,2515,0,0,603595,1221500,7
t2,fcfs/p2c/nocache,fcfs,p2c,2,False,,7,100.0,959,959,943,9.43,0.0,0,0.217139000000806,0.6551570000006492,0.0031282586027111575,264837.62660000526,0.0,9110,0,0,1825095,0,16
t2,fcfs/prefix_then_load/cache,fcfs,prefix_then_load,2,True,,7,100.0,959,959,953,9.53,0.0,0,0.042114000000056606,0.22157900000287611,0.013555787278415016,92037.67990000112,47050.490350001,2145,0,0,516595,1312500,6
t2,fcfs/prefix_then_load/nocache,fcfs,prefix_then_load,2,False,,7,100.0,959,958,938,9.38,0.10427528675703858,1,0.2369980000010088,7.868157000000295,0.2567849686847599,550095.0880000063,0.0,14613,130,42,2171389,0,20
t2,priority/random/cache,priority,random,2,True,,7,100.0,959,959,951,9.51,0.0,0,0.0425900000027184,0.2671580000001299,0.005213764337851929,114025.20620000274,60083.06855000265,2574,0,0,604095,1225000,8
t2,priority/random/nocache,priority,random,2,False,,7,100.0,959,958,941,9.41,0.10427528675703858,1,0.17924100000006327,0.7421100000006433,0.022964509394572025,275366.07020000287,0.0,9400,0,0,1821095,0,17
t2,priority/least_loaded/cache,priority,least_loaded,2,True,,7,100.0,959,959,953,9.53,0.0,0,0.042087000002410946,0.2490810000011976,0.0010427528675703858,116118.35340000482,62492.50420000158,2515,0,0,600595,1228500,6
t2,priority/least_loaded/nocache,priority,least_loaded,2,False,,7,100.0,959,959,940,9.4,0.0,0,0.15890400000148475,0.6502690000005913,0.0031282586027111575,265843.47820000723,0.0,9156,0,0,1827134,0,19
t2,priority/p2c/cache,priority,p2c,2,True,,7,100.0,959,959,951,9.51,0.0,0,0.042418000002967915,0.24807900000157446,0.0010427528675703858,115904.95815000372,62494.91920000274,2515,0,0,604095,1225000,8
t2,priority/p2c/nocache,priority,p2c,2,False,,7,100.0,959,959,940,9.4,0.0,0,0.15890400000148475,0.6502690000005913,0.0031282586027111575,265843.47820000723,0.0,9156,0,0,1827134,0,19
t2,priority/prefix_then_load/cache,priority,prefix_then_load,2,True,,7,100.0,959,959,953,9.53,0.0,0,0.042114000000056606,0.2211090000006486,0.013555787278415016,92039.17475000114,47048.69635000099,2145,0,0,516595,1312500,6
t2,priority/prefix_then_load/nocache,priority,prefix_then_load,2,False,,7,100.0,959,848,830,8.3,11.574556830031282,111,0.1643220000003538,11.872209000000502,0.1320754716981132,693753.4566999971,0.0,16384,279,31,2393051,0,18
t2,drr/random/cache,drr,random,2,True,,7,100.0,959,959,951,9.51,0.0,0,0.0425900000027184,0.2487760000003938,0.005213764337851929,114027.37440000278,60090.37025000267,2574,0,0,604095,1225000,8
t2,drr/random/nocache,drr,random,2,False,,7,100.0,959,959,941,9.41,0.0,0,0.2195410000001523,0.8019600000006406,0.017726798748696558,277932.6757500053,0.0,9597,0,0,1825095,0,18
t2,drr/least_loaded/cache,drr,least_loaded,2,True,,7,100.0,959,958,952,9.52,0.10427528675703858,1,0.04235000000063849,0.2487260000004028,0.0,115931.45365000391,62002.63170000115,2515,0,0,607095,1218000,6
t2,drr/least_loaded/nocache,drr,least_loaded,2,False,,7,100.0,959,959,941,9.41,0.0,0,0.20187300000032593,0.6855510000009772,0.01564129301355579,266379.5422500058,0.0,9343,0,0,1827135,0,18
t2,drr/p2c/cache,drr,p2c,2,True,,7,100.0,959,958,951,9.51,0.10427528675703858,1,0.04259899999994943,0.24659100000030953,0.0020876826722338203,115712.31400000352,62222.79595000136,2515,0,0,603595,1221500,7
t2,drr/p2c/nocache,drr,p2c,2,False,,7,100.0,959,959,941,9.41,0.0,0,0.20187300000032593,0.6855510000009772,0.01564129301355579,266379.5422500058,0.0,9343,0,0,1827135,0,18
t2,drr/prefix_then_load/cache,drr,prefix_then_load,2,True,,7,100.0,959,959,953,9.53,0.0,0,0.042114000000056606,0.22157900000287611,0.013555787278415016,92037.97825000115,47050.790350000985,2145,0,0,516595,1312500,6
t2,drr/prefix_then_load/nocache,drr,prefix_then_load,2,False,,7,100.0,959,954,938,9.38,0.5213764337851929,5,0.19948400000056665,8.449456000000165,0.2431865828092243,543588.2269500061,0.0,15902,125,18,2118480,0,16
