experiment,arm,policy,strategy,workers,prefix_cache,stale,seed,seconds,arrived,admitted,completed,completed_per_s,shed_pct,shed_by_router,ttft_p50_s,ttft_p99_s,routing_imbalance,kv_block_seconds,prefix_block_seconds,peak_blocks,preempts,wasted_decode_tokens,prefill_tokens,cached_prefill_tokens,in_flight_at_horizon
t3,fcfs/random/fresh,fcfs,random,2,False,,7,120.0,578,578,535,4.458333333333333,0.0,0,0.07472800000198276,2.6599700000027013,0.03460207612456748,676372.6889500205,0.0,8631,0,0,574888,0,43
t3,fcfs/random/stale_hidden,fcfs,random,2,False,w1@15s(hidden),7,120.0,578,578,535,4.458333333333333,0.0,0,0.07472800000198276,2.6599700000027013,0.03460207612456748,676372.6889500205,0.0,8631,0,0,574888,0,43
t3,fcfs/random/stale_honest,fcfs,random,2,False,w1@15s,7,120.0,578,408,320,2.6666666666666665,29.41176470588235,170,18.651140000001316,23.351694000003008,1.0,796911.7618500264,0.0,8000,0,0,404351,0,88
t3,fcfs/least_loaded/fresh,fcfs,least_loaded,2,False,,7,120.0,578,578,536,4.466666666666667,0.0,0,0.07246400000194342,1.211399000002757,0.0034602076124567475,671979.2416000245,0.0,8757,0,0,575903,0,42
t3,fcfs/least_loaded/stale_hidden,fcfs,least_loaded,2,False,w1@15s(hidden),7,120.0,578,578,531,4.425,0.0,0,1.4952340000029096,8.166284000000548,0.06920415224913495,749890.1797000248,0.0,11627,0,0,575903,0,47
t3,fcfs/least_loaded/stale_honest,fcfs,least_loaded,2,False,w1@15s,7,120.0,578,408,320,2.6666666666666665,29.41176470588235,170,18.651140000001316,23.351694000003008,1.0,796911.7618500264,0.0,8000,0,0,404351,0,88
t3,fcfs/p2c/fresh,fcfs,p2c,2,False,,7,120.0,578,578,536,4.466666666666667,0.0,0,0.07246400000194342,1.211399000002757,0.0034602076124567475,671979.2416000245,0.0,8757,0,0,575903,0,42
t3,fcfs/p2c/stale_hidden,fcfs,p2c,2,False,w1@15s(hidden),7,120.0,578,578,528,4.4,0.0,0,0.5877300000028214,7.307661000000492,0.06920415224913495,746118.1302000222,0.0,11365,0,0,575903,0,50
t3,fcfs/p2c/stale_honest,fcfs,p2c,2,False,w1@15s,7,120.0,578,408,320,2.6666666666666665,29.41176470588235,170,18.651140000001316,23.351694000003008,1.0,796911.7618500264,0.0,8000,0,0,404351,0,88
t3,fcfs/prefix_then_load/fresh,fcfs,prefix_then_load,2,False,,7,120.0,578,578,536,4.466666666666667,0.0,0,0.07246400000194342,1.211399000002757,0.0034602076124567475,671979.2416000245,0.0,8757,0,0,575903,0,42
t3,fcfs/prefix_then_load/stale_hidden,fcfs,prefix_then_load,2,False,w1@15s(hidden),7,120.0,578,578,531,4.425,0.0,0,1.4952340000029096,8.166284000000548,0.06920415224913495,749890.1797000248,0.0,11627,0,0,575903,0,47
t3,fcfs/prefix_then_load/stale_honest,fcfs,prefix_then_load,2,False,w1@15s,7,120.0,578,408,320,2.6666666666666665,29.41176470588235,170,18.651140000001316,23.351694000003008,1.0,796911.7618500264,0.0,8000,0,0,404351,0,88
t3,priority/random/fresh,priority,random,2,False,,7,120.0,578,578,535,4.458333333333333,0.0,0,0.07472800000198276,2.6599700000027013,0.03460207612456748,676372.6889500205,0.0,8631,0,0,574888,0,43
t3,priority/random/stale_hidden,priority,random,2,False,w1@15s(hidden),7,120.0,578,578,535,4.458333333333333,0.0,0,0.07472800000198276,2.6599700000027013,0.03460207612456748,676372.6889500205,0.0,8631,0,0,574888,0,43
t3,priority/random/stale_honest,priority,random,2,False,w1@15s,7,120.0,578,408,320,2.6666666666666665,29.41176470588235,170,18.651140000001316,23.351694000003008,1.0,796911.7618500264,0.0,8000,0,0,404351,0,88
t3,priority/least_loaded/fresh,priority,least_loaded,2,False,,7,120.0,578,578,536,4.466666666666667,0.0,0,0.07246400000194342,1.211399000002757,0.0034602076124567475,671979.2416000245,0.0,8757,0,0,575903,0,42
t3,priority/least_loaded/stale_hidden,priority,least_loaded,2,False,w1@15s(hidden),7,120.0,578,578,531,4.425,0.0,0,1.4952340000029096,8.166284000000548,0.06920415224913495,749890.1797000248,0.0,11627,0,0,575903,0,47
t3,priority/least_loaded/stale_honest,priority,least_loaded,2,False,w1@15s,7,120.0,578,408,320,2.6666666666666665,29.41176470588235,170,18.651140000001316,23.351694000003008,1.0,796911.7618500264,0.0,8000,0,0,404351,0,88
t3,priority/p2c/fresh,priority,p2c,2,False,,7,120.0,578,578,536,4.466666666666667,0.0,0,0.07246400000194342,1.211399000002757,0.0034602076124567475,671979.2416000245,0.0,8757,0,0,575903,0,42
t3,priority/p2c/stale_hidden,priority,p2c,2,False,w1@15s(hidden),7,120.0,578,578,528,4.4,0.0,0,0.5877300000028214,7.307661000000492,0.06920415224913495,746118.1302000222,0.0,11365,0,0,575903,0,50
t3,priority/p2c/stale_honest,priority,p2c,2,False,w1@15s,7,120.0,578,408,320,2.6666666666666665,29.41176470588235,170,18.651140000001316,23.351694000003008,1.0,796911.7618500264,0.0,8000,0,0,404351,0,88
t3,priority/prefix_then_load/fresh,priority,prefix_then_load,2,False,,7,120.0,578,578,536,4.466666666666667,0.0,0,0.07246400000194342,1.211399000002757,0.0034602076124567475,671979.2416000245,0.0,8757,0,0,575903,0,42
t3,priority/prefix_then_load/stale_hidden,priority,prefix_then_load,2,False,w1@15s(hidden),7,120.0,578,578,531,4.425,0.0,0,1.4952340000029096,8.166284000000548,0.06920415224913495,749890.1797000248,0.0,11627,0,0,575903,0,47
t3,priority/prefix_then_load/stale_honest,priority,prefix_then_load,2,False,w1@15s,7,120.0,578,408,320,2.6666666666666665,29.41176470588235,170,18.651140000001316,23.351694000003008,1.0,796911.7618500264,0.0,8000,0,0,404351,0,88
t3,drr/random/fresh,drr,random,2,False,,7,120.0,578,578,535,4.458333333333333,0.0,0,0.07472800000198276,2.6599700000027013,0.03460207612456748,676372.6889500205,0.0,8631,0,0,574888,0,43
t3,drr/random/stale_hidden,drr,random,2,False,w1@15s(hidden),7,120.0,578,578,535,4.458333333333333,0.0,0,0.07472800000198276,2.6599700000027013,0.03460207612456748,676372.6889500205,0.0,8631,0,0,574888,0,43
t3,drr/random/stale_honest,drr,random,2,False,w1@15s,7,120.0,578,408,320,2.6666666666666665,29.41176470588235,170,18.651140000001316,23.351694000003008,1.0,796911.7618500264,0.0,8000,0,0,404351,0,88
t3,drr/least_loaded/fresh,drr,least_loaded,2,False,,7,120.0,578,578,536,4.466666666666667,0.0,0,0.07246400000194342,1.211399000002757,0.0034602076124567475,671979.2416000245,0.0,8757,0,0,575903,0,42
t3,drr/least_loaded/stale_hidden,drr,least_loaded,2,False,w1@15s(hidden),7,120.0,578,578,531,4.425,0.0,0,1.4952340000029096,8.166284000000548,0.06920415224913495,749890.1797000248,0.0,11627,0,0,575903,0,47
t3,drr/least_loaded/stale_honest,drr,least_loaded,2,False,w1@15s,7,120.0,578,408,320,2.6666666666666665,29.41176470588235,170,18.651140000001316,23.351694000003008,1.0,796911.7618500264,0.0,8000,0,0,404351,0,88
t3,drr/p2c/fresh,drr,p2c,2,False,,7,120.0,578,578,536,4.466666666666667,0.0,0,0.07246400000194342,1.211399000002757,0.0034602076124567475,671979.2416000245,0.0,8757,0,0,575903,0,42
t3,drr/p2c/stale_hidden,drr,p2c,2,False,w1@15s(hidden),7,120.0,578,578,528,4.4,0.0,0,0.5877300000028214,7.307661000000492,0.06920415224913495,746118.1302000222,0.0,11365,0,0,575903,0,50
t3,drr/p2c/stale_honest,drr,p2c,2,False,w1@15s,7,120.0,578,408,320,2.6666666666666665,29.41176470588235,170,18.651140000001316,23.351694000003008,1.0,796911.7618500264,0.0,8000,0,0,404351,0,88
t3,drr/prefix_then_load/fresh,drr,prefix_then_load,2,False,,7,120.0,578,578,536,4.466666666666667,0.0,0,0.07246400000194342,1.211399000002757,0.0034602076124567475,671979.2416000245,0.0,8757,0,0,575903,0,42
t3,drr/prefix_then_load/stale_hidden,drr,prefix_then_load,2,False,w1@15s(hidden),7,120.0,578,578,531,4.425,0.0,0,1.4952340000029096,8.166284000000548,0.06920415224913495,749890.1797000248,0.0,11627,0,0,575903,0,47
t3,drr/prefix_then_load/stale_honest,drr,prefix_then_load,2,False,w1@15s,7,120.0,578,408,320,2.6666666666666665,29.41176470588235,170,18.651140000001316,23.351694000003008,1.0,796911.7618500264,0.0,8000,0,0,404351,0,88
